City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,tuscaloosa,33.2098,-87.5692,31.16,50,20,3.09,US,1690147446
143,tual,-5.6667,132.75,25.15,78,100,11.23,ID,1690147446
144,la passe,45.5549,-0.8967,20.55,85,100,3.73,FR,1690147446
145,labytnangi,66.6572,66.4183,14.82,92,84,2.03,RU,1690147446
146,tura,25.5198,90.2201,24.0,94,100,1.86,IN,1690147447
147,lubang,13.8584,120.124,28.11,76,100,5.93,PH,1690147447
148,isafjordur,66.0755,-23.124,11.09,87,100,1.52,IS,1690147374
149,whitehorse,60.7161,-135.0538,19.43,68,100,3.09,CA,1690147447
150,codrington,-38.2667,141.9667,11.13,84,100,3.08,AU,1690147446
151,morehead city,34.7229,-76.726,30.57,73,0,4.12,US,1690147359
152,rio verde de mato grosso,-18.9181,-54.8442,29.06,30,15,1.97,BR,1690147447
153,ahar,38.4774,47.0699,21.86,51,6,1.97,IR,1690147447
154,changping,40.2186,116.2197,22.8,70,5,1.07,CN,1690147448
155,stanley,54.868,-1.6985,12.38,92,40,4.63,GB,1690147448
156,fallon,39.4735,-118.7774,39.95,9,0,2.06,US,1690147448
157,nema,57.5067,50.5011,13.19,81,34,2.56,RU,1690147448
158,labe,11.3182,-12.2833,19.74,92,100,1.04,GN,1690147448
159,sisimiut,66.9395,-53.6735,7.29,86,91,1.81,GL,1690147448
160,gadani,25.1185,66.7299,29.12,89,100,5.82,PK,1690147448
161,jiayuguan,39.8167,98.3,24.56,22,84,1.59,CN,1690147448
162,port alfred,-33.5906,26.891,12.88,82,100,2.68,ZA,1690147392
163,san antonio de pale,-1.4014,5.6325,22.74,82,52,4.85,GQ,1690147449
164,ak'ordat,15.5486,37.8867,29.36,56,88,5.33,ER,1690147449
165,la'ie,21.6477,-157.9253,30.98,73,13,5.87,US,1690147449
166,talnakh,69.4865,88.3972,11.23,88,11,0.51,RU,1690147449
167,happy valley-goose bay,53.3168,-60.3315,25.17,69,75,3.6,CA,1690147434
168,hanzhong,33.0728,107.0303,24.11,73,100,0.29,CN,1690147449
169,el nido,11.1858,119.3956,26.27,87,100,5.64,PH,1690147449
170,forster,-32.1667,152.5167,9.05,100,75,3.95,AU,1690147450
171,rongelap,11.1635,166.8941,28.71,71,19,8.29,MH,1690147446
172,taltal,-25.4,-70.4833,17.75,76,84,1.62,CL,1690147450
173,ostersund,63.1792,14.6357,12.56,35,0,3.6,SE,1690147450
174,salinopolis,-0.6136,-47.3561,26.9,80,39,4.93,BR,1690147266
175,battagram,34.6772,73.0233,22.44,83,23,1.56,PK,1690147450
176,aso,32.9551,131.0967,24.65,90,92,1.18,JP,1690147450
177,nadym,65.5333,72.5167,16.62,77,7,2.98,RU,1690147450
178,owen sound,44.5672,-80.9435,26.21,63,100,0.81,CA,1690147451
179,bereeda,11.8704,51.0579,31.81,51,100,4.4,SO,1690147451
180,saint-philippe,-21.3585,55.7679,20.77,85,48,5.17,RE,1690147423
181,porto velho,-8.7619,-63.9039,32.03,48,0,2.57,BR,1690147451
182,vila franca do campo,37.7167,-25.4333,22.23,81,41,3.71,PT,1690147451
183,noumea,-22.2763,166.4572,20.0,99,14,1.75,NC,1690147451
184,sena madureira,-9.0656,-68.6569,34.8,29,0,0.12,BR,1690147451
185,nizhneudinsk,54.9076,99.0276,13.59,94,100,1.47,RU,1690147451
186,mumbwa,-14.9783,27.0619,15.42,48,0,2.21,ZM,1690147452
187,crateus,-5.1783,-40.6775,28.94,35,53,2.01,BR,1690147232
188,alofi,-19.0595,-169.9187,24.94,65,73,6.69,NU,1690147452
189,vadso,70.0744,29.7487,8.49,93,100,5.66,NO,1690147452
190,whistler,50.1164,-122.9695,24.57,33,100,2.06,CA,1690147452
191,hamilton,39.1834,-84.5333,30.96,47,40,4.12,US,1690147452
192,hammerfest,70.6634,23.6821,12.25,66,0,7.2,NO,1690147453
193,suances,43.4334,-4.0434,21.66,84,20,0.0,ES,1690147453
194,morondava,-20.2833,44.2833,21.22,76,0,4.38,MG,1690147453
195,puerto escondido,15.85,-97.0667,32.46,58,75,4.12,MX,1690147453
196,okhotsk,59.3833,143.3,18.03,65,8,1.25,RU,1690147453
197,kanniyakumari,8.0833,77.5667,26.02,80,100,7.7,IN,1690147453
198,kralendijk,12.15,-68.2667,29.99,74,40,9.26,BQ,1690147453
199,petauke,-14.2426,31.3253,16.36,56,0,2.1,ZM,1690147453
200,gargalianoi,37.0667,21.6333,27.34,54,0,2.52,GR,1690147454
